Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_norole-2024-01-03_15:47:16.tsv...
S XXX <PER>Œuvre
* XXX <LOC>De
Mon¬ XXX <PER>Monsieur
offert XXX <PER>Mme
Ré¬ XXX <LOC>Réserve
qua¬ XXX <LOC>quatorze
pro¬ XXX <PER>professeur
) XXX <PER>M
) XXX <PER>M
. XXX <LOC>jours
( XXX (<ORG>Orient
( XXX (<ORG>Orient
Ca¬ XXX <LOC>Casino
En XXX <ORG>De
Rhô¬ XXX <ORG>Rhône
An¬ XXX <PER>André
Geor¬ XXX <PER>Georges
le XXX <HumanProd>Manuel
" XXX <PER>René
" XXX <ORG>EXPÉDIE
' XXX <PER>Hermann
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_de_HIPE-2022-v2.1-ajmc-test-de.tsv-ajmc_guidelines_role-2024-03-23_11:41:40.tsv...
. XXX <WORK>Diodorus
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_en_HIPE-2022-v2.1-ajmc-test-en.tsv-ajmc_guidelines_role-2024-03-23_11:44:12.tsv...
* XXX <SCOPE>sheltered
&s XXX <SCOPE>it
------

Preprocessing Llama-2-70b-chat-hf-datasets_AJMC_fr_HIPE-2022-v2.1-ajmc-test-fr.tsv-ajmc_guidelines_role-2024-03-23_11:45:16.tsv...
dans XXX <SCOPE>
------

Preprocessing Llama-2-70b-chat-hf-._datasets_HIPE_de_HIPE-2022-v2.1-hipe2020-test-de.tsv-hipe_guidelines_role-2024-03-08_18:45:57.tsv...
¬ XXX <pers>sicht
¬ XXX <pers>General-Lieutenant
¬ XXX <org>konstitutionelle
Deputirten XXX <pers>Deputierten
( XXX (<loc>Eine
( XXX (<org>Englische
1863 XXX <time>Jahres
¬ XXX <org>Erziehungsanstalt
¬ XXX <org>radikalischen
¬ XXX <org>gezworenen
¬ XXX <org>Staatlich-volkswirtschaftlichen
Ver XXX Ver<loc>
wirtschaft XXX wirtschaft<loc>liche
¬ XXX <loc>icher
¬ XXX <time>gestern
¬ XXX <org>Anglo-Jewish
¬ XXX <org>Ritterhausgesellschaft
( XXX (<PERS>,
( XXX (<PERS>,
( XXX (<org>soz.
1937 XXX <time>Jahres
( XXX (<PERS>,
( XXX (<PERS>,
franzésisehe XXX <org>französische
westeuropüischen XXX <loc>westeuropäischen
> XXX <org>kommen
Religion XXX <religion>
cc XXX <time>vor
socialen XXX <org>sozialen
» XXX <org>diplomatischen
l XXX <loc>^
tem XXX <loc>internationalen
die XXX <org>Ehre
helligen XXX <org>hellen
, XXX <time>-
^ XXX <loc>chi
bie XXX <org>Herzogin
» XXX <prod>Ziösen
vnn XXX <time>von
^ XXX <loc>einen
Die XXX <loc>Italienischen
» XXX <num>190
' XXX <org>Nationale
fasehisten XXX <org>Daily
parlamentarisehe XXX <org>parlamentarische
------

Preprocessing Llama-2-70b-chat-hf-._datasets_HIPE_en_HIPE-2022-v2.1-hipe2020-test-en.tsv-hipe_guidelines_role-2024-03-08_18:45:19.tsv...
W XXX <ORG>
_ XXX <time>29
¬ XXX <loc>Palace
Gazstte XXX <org>Gazette
' XXX <pers>heart
- XXX <pers>os
twenty XXX <TIME>Tenth
' XXX <org>Urn
shalljiave XXX shall<loc>
* XXX <time>stablish
on XXX <loc>powerful
Gen XXX <pers>Mr
law XXX <law>
[ XXX <org>sion
re XXX <org>pecuniary
^ XXX <contract>
owu XXX <prod>own
time XXX <time>
bocks XXX <org>District
iskegee XXX <loc>Tuskegee
------

Preprocessing Llama-2-70b-chat-hf-._datasets_HIPE_fr_HIPE-2022-v2.1-hipe2020-test-fr.tsv-hipe_guidelines_role-2024-03-10_17:18:47.tsv...
bonnesi XXX <attr>bonnes
" XXX <loc>bureau
chtz XXX <pers>Jean
enfans XXX <pers>enfants
i XXX <time>5
" XXX <loc>biens
< XXX <loc>e
\ XXX <org>i
_ XXX <time>3
l XXX l'<loc>ancien
_ XXX <prod>colliers
" XXX <loc>une
ï XXX <time>3
_ XXX <org>négociant
_ XXX <time>J
l XXX l'<org>autorisation
_ XXX <loc>giand
_ XXX <loc>abord
_ XXX <pers>Gilbas
_ XXX <org>chea
_ XXX <loc>précédemment
Lorsqu XXX Lorsqu'<time>en
_ XXX <loc>Mme
c XXX <loc>C
_ XXX <org>un
_ XXX <pers>employés
_ XXX <org>Tbu
gOii XXX <org>gouvernement
_ XXX <time>30
sirènes XXX <time>coups
_ XXX <loc>a
L XXX <org>l'enquête
pa XXX <pers>père
. XXX <org>CHAMBRE
canse XXX <loc>cause
' XXX <time>majorité
à XXX <org>la
' XXX l'<org>assemblée
lant XXX l'<pers>ant
gcut XXX <org>agence
celte XXX <loc>cette
l XXX l'<loc>exposition
trois XXX <org>le
_ XXX <loc>de
l XXX l'<time>examen
[ XXX <loc>bombardement
soldais XXX <pers>soldats
* XXX <loc>dépression
. XXX <org>la
l XXX l'<org>Académie
bien XXX <positive>
la XXX <pers>Henri
_ XXX <pers>jses
_ XXX <pers>le
------

Preprocessing Llama-2-70b-chat-hf-datasets_Newseye_de_HIPE-2022-v2.1-newseye-test-de.tsv-newseye_guidelines_role-2024-03-23_11:50:46.tsv...
sind XXX <ORG>Vereinigte
abgehalten XXX <PER>Herr
sind XXX <PER>Herr
" XXX <PER>Herr
Historischer XXX <PER>Johann
Noch XXX <PER>Michel
. XXX <LOC>20
( XXX <LOC>Wiener
) XXX <LOC>Abends
Große XXX <PER>Bruno
. XXX <PER>Julius
. XXX <PER>Heinrich
„ XXX <ORG>Arbeiterinnen
Juli XXX <DATE>5.
=Dez XXX <LOC>Dez
— XXX <LOC>Floridsdorfer
, XXX <PER>kaukasisches
— XXX <LOC>Rio
, XXX <LOC>16/24er
) XXX <LOC>Die
. XXX <PER>Rente
) XXX <LOC>100
. XXX <LOC>200
. XXX <LOC>1000
. XXX <LOC>600
. XXX <LOC>3000
. XXX <ORG>200
. XXX <LOC>2000
. XXX <ORG>200
. XXX <LOC>1884
. XXX <LOC>100
) XXX <LOC>100
) XXX <LOC>200
. XXX <PER>3%
=Priesen XXX <LOC>Priesen
) XXX <ORG>Andere
, XXX <LOC>4%
, XXX <LOC>4%
detto XXX <PER>Detto
, XXX <ORG>Allg.
“ XXX <PER>Gerade
Als XXX <ORG>Drei¬
( XXX <LOC>Von
„ XXX <PER>Herr
“ XXX <PER>Die
) XXX <LOC>Von
Trotzdem XXX <PER>Dr.
Ausweise XXX <ORG>Volks¬
80 XXX <PER>Herr
) XXX <LOC>In
Ukrainischen XXX <ORG>Ukrainische
, XXX <LOC>die
: XXX <LOC>Die
: XXX <PER>General
New=York XXX <LOC>New
* XXX <PER>Rudolf
* XXX <LOC>Wiener
* XXX <LOC>Die
* XXX <PER>Johann
Die XXX <PER>Marie
Wie XXX <PER>Madame
“ XXX <PER>Wie
In XXX <PER>Paul
* XXX <ORG>Erster
“ XXX <ORG>Die
d XXX <ANM>Anm.
) XXX <ORG>Das
* XXX <PER>F.
* XXX <ORG>Humanität
Untersuchungs= XXX <LOC>Untersuchungs-
* XXX <LOC>Kleine
* XXX <PER>Johann
Der XXX <PER>Sylvester
* XXX <LOC>Beim
. XXX <LOC>Richard
* XXX <LOC>Ein
' XXX <PER>Franz
( XXX (<LOC>zweites
) XXX <LOC>Erstes
. XXX <LOC>Stefansplatz
( XXX (<PER>der
“ XXX <ORG>Bayrische
) XXX <ORG>Bayrische
. XXX <LOC>Brunnengasse
“ XXX <PER>M.
„ XXX <PER>Blonde
m XXX <PER>Marlene
„ XXX <LOC>Rätsel
“ XXX <LOC>APOLLO
„ XXX <PER>James
“ XXX <LOC>MEIDLINGER
m XXX <PER>Franziska
„ XXX <PER>Hedy
„ XXX <PER>Karl
“ XXX <PER>D.
„ XXX <PER>Tiger
Verschlungene XXX <PER>A
( XXX <HumanProd>Verschlungene
) XXX <LOC>Seite
. XXX <DATE>Heute
. XXX <LOC>Obere
“ XXX <LOC>18
“ XXX <LOC>Büchereinlauf
40 XXX <PER>Dr.
40 XXX <PER>Hans
05 XXX <PER>Tobias
“ XXX <PER>Hermann
. XXX <PER>Franz
. XXX <PER>Rudolf
Am XXX <PER>Franz
) XXX <ORG>Funkorchester
) XXX <LOC>Erde
40 XXX <PER>Paul
Einleitende XXX <PER>Dr.
Dirigent: XXX <PER>Josef
“ XXX <HumanProd>Oper
“ XXX <HumanProd>Oper
“ XXX <HumanProd>Burleske
“ XXX <PER>Giuseppe
“ XXX <HumanProd>Oper
“ XXX <LOC>Die
— XXX <LOC>Das
=Dr XXX <PER>Dr.
Am XXX <LOC>1
Verantwortlicher XXX <PER>G
2 XXX <LOC>Der
, XXX <LOC>16
Verwaltungs= XXX <LOC>Verwaltungs-Jahr
In XXX <PER>Erbgraf
Bienerth XXX <PER>Freiherr
Aus XXX <ORG>Bregenzer
* XXX <PER>Vom
Eigentümer XXX <ORG>Wagner
zur XXX <PER>Der
„ XXX <LOC>Innsbrucker
2 XXX <PRODUCT>Flüssiges
Für XXX <PER>Frau
Beginn XXX <LOC>3
: XXX <LOC>Einrichtungs=
B XXX <ORG>Geschäftsstelle
=Gem XXX <LOC>Gem
Der XXX <PER>Emil
„ XXX <LOC>Innsbrucker
— XXX <LOC>Apotheke
Oesterreichischen XXX <ORG>Oesterreichische
Oesterreichischen XXX <ORG>Oesterreichische
, XXX <LOC>Renngasse
, XXX <LOC>Seilerstätte
, XXX <LOC>Westbahnstraße
, XXX <LOC>Andrassy
Vertreter XXX <PER>Robert
langjähriger XXX <ORG>Fa
. XXX <ORG>Jeder
Restenmuster XXX <ORG>Weberei
Zähne XXX <PER>Dr
„ XXX <PER>Franz
“ XXX <PER>Der
Den XXX <PER>Herr
Da XXX <PER>Freiherr
) XXX <LOC>Juli
( XXX (<ORG>Firma
, XXX <ORG>unsere
, XXX <LOC>Köstlergasse
, XXX <LOC>Köstiergasse
, XXX <LOC>Josefstädterstrasse
, XXX <LOC>Radetzkyplatz
„ XXX <LOC>100
= XXX <ORG>Für
###f XXX <ORG>Die
) XXX <ORG>40½
=Lose XXX <LOC>100
=ungar XXX <ORG>Bank
=Verein XXX <ORG>Verein
### XXX <ORG>Geld
„ XXX <ORG>AU
“ XXX <PRODUCT>Kaffee
„ XXX <LOC>Ober¬
„ XXX <PER>Die
: XXX <LOC>Im
: XXX <PER>Der
— XXX <LOC>Telephon
Ein XXX <PER>Dr
###ir XXX <ORG>Illustrierte
Plomben XXX <ORG>K
Im XXX <PER>Hermann
Unter XXX <PER>Heinrich
. XXX <LOC>Unter
. XXX <LOC>Mohrengasse
Ein XXX <PER>Hermine
Zu XXX <PER>Hermine
Donnertag XXX <PER>Johann
( XXX (<ORG>Vereinigung
) XXX <LOC>Am
( XXX <LOC>Kärntner
) XXX <PER>Herrn
. XXX <LOC>Sonntag
. XXX <LOC>nach
, XXX <LOC>Lainzerstraße
( XXX <ORG>Gesellschaft
( XXX <ORG>Wiener
, XXX <LOC>Josefstädter¬
) XXX <ORG>Das
„ XXX <PER>Wenn
♦Kleine XXX <ORG>Kleine
, XXX <LOC>Donau¬
, XXX <LOC>Kaiserstraße
, XXX <LOC>Favoritenstraße
„ XXX <LOC>warten
Johann=Strauß=Tänze XXX <PER>Johann
— XXX <ORG>Deutsches
( XXX <LOC>Margareiner
) XXX <LOC>Sport
, XXX <LOC>Am
: XXX <LOC>Filmvorführung
Bei XXX <PER>Dr
, XXX <LOC>Märzstraße
Spezialarzi XXX <PER>Dr
, XXX <LOC>Josefstädterstraße
Uebersiedlungen XXX <Uebersiedlungen>16
, XXX <LOC>Ullmannstraße
, XXX <LOC>Thallastraße
Unruhig XXX <PER>Direktor
Während XXX <PER>Paul
„ XXX <PER>Herr
: XXX <LOC>Für
; XXX <PER>v
; XXX <PER>b
, XXX <PER>Auguste
; XXX <LOC>Spa¬
, XXX <PER>b
, XXX <PER>H.
, XXX <LOC>u
uns XXX <LOC>21
, XXX <PER>E.
; XXX <LOC>für
“ XXX <PER>Aber
Eines XXX <PER>Louis
quis XXX <QUESTION>Quis
Nach XXX <PER>Dietrich
Das XXX <PER>Bonifaz
Juli XXX <DATE>5.
2 XXX <ORG>Die
3 XXX <ORG>hiesigen
4 XXX <ORG>Der
Doch XXX <PER>Dr
] XXX <LOC>Die
) XXX <LOC>Die
Eine XXX <PER>Alexis
Die XXX <PER>Giovanni
schwung XXX <PER>Schwung
Verantwortlicher XXX <PER>Joseph
“ XXX <PER>der
„ XXX <PER>Sehen
“ XXX <PER>Friedrich
endlich XXX <PER>der
„ XXX <PER>der
“ XXX <PER>Nun
“ XXX <HUMANPROD>Fortsetzung
— XXX <LOC>65
[Egyptische XXX <LOC>Egyptische
Juli: XXX <DATE>3.
] XXX <LOC>Das
] XXX <ORG>Pester
General=Direction XXX <ORG>General-Direction
[Frau XXX <PER>Frau
] XXX <LOC>New
: XXX <PER>Haben
: XXX <PER>Wurde
: XXX <PER>Haben
: XXX <PER>Haben
) XXX <ORG>Se
Postdirections=Kassfen=Adjuncten XXX <PER>Anton
) XXX <ORG>Agence
) XXX <ORG>k
“ XXX <PER>Der
„ XXX <PER>der
“ XXX <PER>Ohne
„ XXX <PER>Ich
„ XXX <PER>Lesen
“ XXX <HumanProd>Die
“ XXX <PER>der
“ XXX <PER>sagte
“ XXX <PER>der
“ XXX <PER>Herr
Juli XXX <DATE>5.
Notirungen XXX <TIME>12
] XXX <LOC>Wiener
. XXX <LOC>Creditactien
. XXX <ORG>Russisches
. XXX <LOC>vom
. XXX <LOC>Staatsbahn
— XXX <LOC>Lombarden
. XXX <ORG>Anglo-Deutsche
. XXX <ORG>Wiener
— XXX <ORG>Deutsche
[Berliner XXX <LOC>Berliner
, XXX <ORG>der
] XXX <LOC>Der
) XXX <LOC>Weizen
Be¬ XXX <BERICHT>aus
„ XXX <PER>Der
„ XXX <LOC>Der
„ XXX <HumanProd>Das
“ XXX <LOC>K
„ XXX <LOC>Die
“ XXX <HumanProd>Oper
„ XXX <PER>Maria
Posse XXX <PER>A
“ XXX <PER>Sebastian
Fünfte XXX <PER>Dr
“ XXX <HumanProd>Komische
“ XXX <LOC>Theater
„ XXX <LOC>Drei
“ XXX <LOC>Oesterreichischer
— XXX <LOC>Die
’ XXX <LOC>Schwender's
beob¬ XXX <LOC>3
: XXX <LOC>Für
; XXX <PER>G.
, XXX <PER>Auguste
; XXX <LOC>Spa¬
, XXX <PER>b
, XXX <PER>H.
, XXX <LOC>110
uns XXX <LOC>21
, XXX <PER>E.
; XXX <LOC>für
' XXX <PER>sche
: XXX <LOC>chüss¬
“ XXX <PER>Das
“ XXX <PER>Dies
] XXX <LOC>Der
] XXX <LOC>Dem
] XXX <LOC>Der
[Verein XXX <ORG>Verein
“ XXX <PER>Leb¬
) XXX <PER>Ein
“ XXX <PER>Herr
“ XXX <PER>So
“ XXX <LOC>Die
Die XXX <PER>Mr
und XXX <PER>Colonel
In XXX <PER>Mr
ame¬ XXX <ORG>amerikanischen
“ XXX <LOC>Aus
) XXX <PER>Dr
: XXX <LOC>Was
Später XXX <DATE>24
] XXX <PER>Paul
Ein XXX <PER>Isaak
Wenn XXX <PER>Nikola
Nun XXX <PER>Adolph
— XXX <LOC>In
) XXX <LOC>Es
Brü¬ XXX <PER>Brüder
Aufträge XXX <ORG>Buchhandlung
Hier XXX <ORG>Bermann
“ XXX <PER>Josef
— XXX <PER>Herr
[Erste XXX <LOC>Erste
[Ein XXX <LOC>Ein
“ XXX <LOC>Eine
[Konkursverhängung XXX <HumanProd>Konkursverhängung
[Frequenz XXX <LOC>Frequenz
[Der XXX <ORG>Der
[Die XXX <ORG>Die
[Ein XXX <PER>Professor
Was XXX <PER>Robert
deutsch¬ XXX <ORG>deutsch-nationalen
. XXX <PER>Führung:
Austro= XXX <ORG>Austro-Ungarischen
öster¬ XXX öster<LOC>reich
( XXX (<PER>Domkapellmeister
Juli XXX <DATE>1.
Premier XXX <ORG>Rio
Newyork XXX <LOC>New
— XXX <LOC>7prozentige
— XXX <LOC>7prozentige
— XXX <LOC>7½prozentige
— XXX <LOC>7prozentige
— XXX <LOC>7½prozentige
) XXX <LOC>Im
" XXX <LOC>Johann=
" XXX <PER>Der
„ XXX <PER>der
“ XXX <PER>O
“ XXX <PER>Mr
“ XXX <PER>Der
“ XXX <PER>Genaue
“ XXX <PER>Martha
daß XXX <PER>Jake
“ XXX <PER>der
„ XXX <LOC>Der
“ XXX <PER>Die
“ XXX <PER>der
Der XXX <PER>F
( XXX (<LOC>Vereinigte
Die XXX <PER>Hans
Der XXX <PER>Robert
In XXX <PER>Robert
“ XXX <LOC>Dieses
Zur XXX <ORG>Professor
Bundes¬ XXX <ORG>Bundesministerium
Aus XXX <ORG>Hauptverband
------

Preprocessing Llama-2-70b-chat-hf-datasets_Newseye_fr_NewsEye-GT-NER_EL_StD-v1-test-fr.tsv-newseye_guidelines_role-2024-03-23_11:51:48.tsv...
Ce XXX <PER>M
La XXX <PER>M.
La XXX <PER>M
— XXX <LOC>Saint
) XXX <LOC>Précisions
) XXX <LOC>Le
. XXX <LOC>5
003 XXX <LOC>Le
Que XXX <LOC>La
Film XXX <PER>Henri
PROGRAMME XXX <LOC>Cet
. XXX <TIME>8
, XXX <TIME>8
, XXX <PER>E.
, XXX <LOC>La
, XXX <LOC>Toutes
, XXX <PER>La
15 XXX <HumanProd>Peer
, XXX <HumanProd>Good
. XXX <ORG>Crédit
. XXX <ORG>Crédit
. XXX <ORG>Rand
. XXX <ORG>Financière
. XXX <ORG>Société
. XXX <LOC>Silva
. XXX <LOC>Rente
. XXX <LOC>4
. XXX <LOC>Terres
. XXX <LOC>2710
. XXX <LOC>Vieille
. XXX <LOC>3
. XXX <ORG>Générale
. XXX <LOC>Tabacs
. XXX <LOC>4
. XXX <ORG>Les
. XXX <LOC>324
. XXX <LOC>New
Deux XXX <PER>M.
assu¬ XXX <HumanProd>assurance
jan¬ XXX <LOC>janvier
mi¬ XXX <PER>ministre
com¬ XXX <PER>comission
mi¬ XXX <PER>ministres
Le XXX <ORG>La
MM XXX <PER>Eugène
. XXX <LOC>XIVe
— XXX <PER>Julien
— XXX <ORG>Aux
— XXX <LOC>Mardi
) XXX <HumanProd>Les
1 XXX <ORG>L
. XXX <LOC>HORAIRE
) XXX <LOC>la
. XXX <LOC>15
. XXX <LOC>12
, XXX <ORG>comm.
SPORTING XXX <LOC>Le
*★ XXX <LOC>PORTE
* XXX <LOC>A
** XXX <LOC>Au
* XXX <LOC>De
Villannelle XXX <PER>Théophile
. XXX <PER>Hector
. XXX <PER>Leconte
- XXX <PER>Gabriel
— XXX <PER>L
Pour XXX <PER>le
Pas XXX <PER>van
— XXX <PER>le
L XXX <PER>van
Sont XXX <LOC>50
— XXX <PER>van
— XXX <PER>M.
— XXX <PER>Mlle
— XXX <PER>M
— XXX <PER>M
, XXX <PER>van
— XXX <PER>van
— XXX <PER>M
Au XXX <PER>Noémi
Mon¬ XXX <PER>Monsieur
Ainsi XXX <PER>le
« XXX <PER>Cet
offert XXX <PER>Mme
) XXX <PER>Mme
) XXX <PER>Mlles
) XXX <PER>Mlle
) XXX <PER>Mlle
Conférences XXX <ORG>Le
» XXX <ORG>L
» XXX <LOC>Le
» XXX <LOC>La
» XXX <LOC>L
» XXX <LOC>La
» XXX <LOC>La
Par XXX <PER>le
, XXX <LOC>les
L XXX <PER>M
( XXX <LOC>Gazette
) XXX <LOC>Le
Ce XXX <PER>le
) XXX <PER>M
) XXX <PER>M
. XXX <LOC>ni
) XXX <ORG>Le
— XXX <LOC>Cirque
( XXX (<LOC>boulevard
atres XXX <ORG>Le
— XXX <LOC>Ces
Mise XXX <LOC>400,000
Pour XXX <PER>M
