language_model	guidelines_type	role_type	dataset	lang	strict_P_micro	strict_R_micro	strict_F1_micro	fuzzy_P_micro	fuzzy_R_micro	fuzzy_F1_micro
Llama-2-70b-chat-hf	guidelines	role	Newseye	fr	0.1666	0.2111	0.1862	0.2772	0.3513	0.3099
Llama-2-70b-chat-hf	no_guidelines	no_role	AJMC	de	0.3436	0.1754	0.2322	0.5026	0.2565	0.3397
Llama-2-70b-chat-hf	no_guidelines	no_role	AJMC	en	0.2227	0.1408	0.1725	0.5091	0.3218	0.3944
Llama-2-70b-chat-hf	no_guidelines	no_role	AJMC	fr	0.4699	0.2167	0.2966	0.5602	0.2583	0.3536
Llama-2-70b-chat-hf	no_guidelines	no_role	HIPE	de	0.2460	0.3636	0.2935	0.3333	0.4926	0.3976
Llama-2-70b-chat-hf	no_guidelines	no_role	HIPE	en	0.2383	0.2829	0.2587	0.3902	0.4633	0.4236
Llama-2-70b-chat-hf	no_guidelines	no_role	HIPE	fr	0.3173	0.3538	0.3345	0.4378	0.4881	0.4616
Llama-2-70b-chat-hf	no_guidelines	no_role	NewsEye	de	0.1137	0.2898	0.1633	0.1607	0.4097	0.2308
Llama-2-70b-chat-hf	no_guidelines	no_role	NewsEye	fr	0.2870	0.3629	0.3205	0.4083	0.5162	0.4559
Llama-2-70b-chat-hf	no_guidelines	role	AJMC	de	0.2871	0.1571	0.2030	0.4258	0.2330	0.3012
Llama-2-70b-chat-hf	no_guidelines	role	AJMC	en	0.1862	0.1006	0.1306	0.4362	0.2356	0.3060
Llama-2-70b-chat-hf	no_guidelines	role	AJMC	fr	0.3619	0.2111	0.2667	0.4857	0.2833	0.3579
Llama-2-70b-chat-hf	no_guidelines	role	HIPE	de	0.2155	0.2903	0.2474	0.2997	0.4037	0.3440
Llama-2-70b-chat-hf	no_guidelines	role	HIPE	en	0.2106	0.2205	0.2155	0.3298	0.3452	0.3373
Llama-2-70b-chat-hf	no_guidelines	role	HIPE	fr	0.2648	0.2819	0.2731	0.3799	0.4044	0.3918
Llama-2-70b-chat-hf	no_guidelines	role	Newseye	de	0.0846	0.1320	0.1031	0.1230	0.1919	0.1499
Llama-2-70b-chat-hf	no_guidelines	role	Newseye	fr	0.2108	0.2280	0.2191	0.3355	0.3629	0.3486
Meta-Llama-3-70B-Instruct	guidelines	no_role	AJMC	de	0.4020	0.1073	0.1694	0.4804	0.1283	0.2025
Meta-Llama-3-70B-Instruct	guidelines	no_role	AJMC	en	0.2650	0.0891	0.1333	0.3590	0.1207	0.1806
Meta-Llama-3-70B-Instruct	guidelines	no_role	AJMC	fr	0.2759	0.0667	0.1074	0.3218	0.0778	0.1253
Meta-Llama-3-70B-Instruct	guidelines	no_role	HIPE	de	0.3462	0.2964	0.3194	0.4623	0.3958	0.4265
Meta-Llama-3-70B-Instruct	guidelines	no_role	HIPE	en	0.2556	0.2294	0.2418	0.4094	0.3675	0.3873
Meta-Llama-3-70B-Instruct	guidelines	no_role	HIPE	fr	0.3864	0.2125	0.2742	0.5023	0.2762	0.3565
Meta-Llama-3-70B-Instruct	guidelines	no_role	Newseye	de	0.1832	0.1474	0.1634	0.2490	0.2002	0.2220
Meta-Llama-3-70B-Instruct	guidelines	no_role	Newseye	fr	0.4073	0.1541	0.2236	0.5316	0.2011	0.2918
Meta-Llama-3-70B-Instruct	guidelines	role	AJMC	de	0.3516	0.1178	0.1765	0.4062	0.1361	0.2039
Meta-Llama-3-70B-Instruct	guidelines	role	AJMC	en	0.2735	0.0920	0.1376	0.3761	0.1264	0.1892
Meta-Llama-3-70B-Instruct	guidelines	role	AJMC	fr	0.2432	0.0500	0.0829	0.3108	0.0639	0.1060
Meta-Llama-3-70B-Instruct	guidelines	role	HIPE	de	0.3261	0.3008	0.3129	0.4263	0.3932	0.4091
Meta-Llama-3-70B-Instruct	guidelines	role	HIPE	en	0.2548	0.2383	0.2463	0.3905	0.3653	0.3774
Meta-Llama-3-70B-Instruct	guidelines	role	HIPE	fr	0.3689	0.2206	0.2761	0.4723	0.2825	0.3535
Meta-Llama-3-70B-Instruct	guidelines	role	Newseye	de	0.1810	0.1515	0.1650	0.2447	0.2048	0.2230
Meta-Llama-3-70B-Instruct	guidelines	role	Newseye	fr	0.4289	0.1602	0.2333	0.5546	0.2072	0.3017
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	AJMC	de	0.2429	0.0890	0.1303	0.2857	0.1047	0.1533
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	AJMC	en	0.2238	0.0920	0.1303	0.3077	0.1264	0.1792
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	AJMC	fr	0.2255	0.0639	0.0996	0.2745	0.0778	0.1212
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	HIPE	de	0.3557	0.2999	0.3254	0.4767	0.4019	0.4361
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	HIPE	en	0.2827	0.2405	0.2599	0.4398	0.3742	0.4043
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	HIPE	fr	0.4107	0.2112	0.2790	0.5395	0.2775	0.3665
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	Newseye	de	0.1655	0.1490	0.1568	0.2325	0.2094	0.2204
Meta-Llama-3-70B-Instruct	no_guidelines	no_role	Newseye	fr	0.4232	0.1040	0.1670	0.5329	0.1310	0.2103
Meta-Llama-3-70B-Instruct	no_guidelines	role	AJMC	de	0.2360	0.0995	0.1400	0.2671	0.1126	0.1584
Meta-Llama-3-70B-Instruct	no_guidelines	role	AJMC	en	0.2133	0.0920	0.1285	0.2867	0.1236	0.1727
Meta-Llama-3-70B-Instruct	no_guidelines	role	AJMC	fr	0.1947	0.0611	0.0930	0.2566	0.0806	0.1226
Meta-Llama-3-70B-Instruct	no_guidelines	role	HIPE	de	0.2919	0.3008	0.2963	0.3985	0.4106	0.4045
Meta-Llama-3-70B-Instruct	no_guidelines	role	HIPE	en	0.2446	0.2517	0.2481	0.3766	0.3875	0.3820
Meta-Llama-3-70B-Instruct	no_guidelines	role	HIPE	fr	0.3463	0.2219	0.2705	0.4488	0.2875	0.3505
Meta-Llama-3-70B-Instruct	no_guidelines	role	Newseye	de	0.1598	0.1511	0.1553	0.2214	0.2094	0.2152
Meta-Llama-3-70B-Instruct	no_guidelines	role	Newseye	fr	0.3785	0.1656	0.2304	0.5035	0.2203	0.3065
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	AJMC	de	0.2125	0.2042	0.2083	0.2997	0.2880	0.2937
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	AJMC	en	0.2358	0.1437	0.1786	0.3632	0.2213	0.2750
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	AJMC	fr	0.2732	0.1472	0.1913	0.3093	0.1667	0.2166
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	HIPE	de	0.1914	0.1970	0.1942	0.3074	0.3165	0.3119
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	HIPE	en	0.1561	0.1314	0.1427	0.3122	0.2628	0.2854
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	HIPE	fr	0.2557	0.1756	0.2082	0.3985	0.2737	0.3246
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	Newseye	de	0.1053	0.1391	0.1199	0.1905	0.2515	0.2168
Mixtral-8x7B-Instruct-v0.1	guidelines	no_role	Newseye	fr	0.2184	0.1317	0.1643	0.3883	0.2342	0.2922
Mixtral-8x7B-Instruct-v0.1	guidelines	role	AJMC	de	0.2785	0.4162	0.3337	0.3870	0.5785	0.4638
Mixtral-8x7B-Instruct-v0.1	guidelines	role	AJMC	en	0.2602	0.3305	0.2911	0.4005	0.5086	0.4481
Mixtral-8x7B-Instruct-v0.1	guidelines	role	AJMC	fr	0.2540	0.3083	0.2785	0.3318	0.4028	0.3639
Mixtral-8x7B-Instruct-v0.1	guidelines	role	HIPE	de	0.2061	0.2136	0.2098	0.3213	0.3330	0.3271
Mixtral-8x7B-Instruct-v0.1	guidelines	role	HIPE	en	0.1952	0.1804	0.1875	0.3422	0.3163	0.3287
Mixtral-8x7B-Instruct-v0.1	guidelines	role	HIPE	fr	0.2581	0.3481	0.2964	0.3809	0.5138	0.4375
Mixtral-8x7B-Instruct-v0.1	guidelines	role	Newseye	de	0.1268	0.2011	0.1555	0.2097	0.3326	0.2572
Mixtral-8x7B-Instruct-v0.1	guidelines	role	Newseye	fr	0.2427	0.2188	0.2301	0.4000	0.3606	0.3793
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	AJMC	de	0.2594	0.1806	0.2130	0.3233	0.2251	0.2654
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	AJMC	en	0.1378	0.1580	0.1473	0.2155	0.2471	0.2303
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	AJMC	fr	0.1495	0.1611	0.1551	0.1856	0.2000	0.1925
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	HIPE	de	0.2024	0.1874	0.1947	0.3315	0.3069	0.3187
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	HIPE	en	0.1689	0.1403	0.1533	0.3458	0.2873	0.3139
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	HIPE	fr	0.3070	0.2356	0.2666	0.4520	0.3469	0.3925
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	Newseye	de	0.0952	0.1395	0.1132	0.1802	0.2639	0.2142
Mixtral-8x7B-Instruct-v0.1	no_guidelines	no_role	Newseye	fr	0.1960	0.1348	0.1597	0.3348	0.2304	0.2729
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	AJMC	de	0.2169	0.2147	0.2158	0.3016	0.2984	0.3000
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	AJMC	en	0.1894	0.2155	0.2016	0.2854	0.3247	0.3038
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	AJMC	fr	0.2082	0.1694	0.1868	0.2696	0.2194	0.2420
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	HIPE	de	0.1944	0.2101	0.2019	0.2984	0.3226	0.3100
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	HIPE	en	0.1710	0.1915	0.1807	0.3082	0.3452	0.3256
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	HIPE	fr	0.2677	0.2694	0.2685	0.3919	0.3944	0.3931
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	Newseye	de	0.0936	0.1207	0.1055	0.1947	0.2510	0.2193
Mixtral-8x7B-Instruct-v0.1	no_guidelines	role	Newseye	fr	0.1932	0.1487	0.1680	0.3383	0.2604	0.2943
zephyr-7b-beta	guidelines	no_role	AJMC	de	0.4130	0.0995	0.1603	0.4674	0.1126	0.1814
zephyr-7b-beta	guidelines	no_role	AJMC	en	0.3263	0.0891	0.1400	0.4316	0.1178	0.1851
zephyr-7b-beta	guidelines	no_role	AJMC	fr	0.3647	0.0861	0.1393	0.4588	0.1083	0.1753
zephyr-7b-beta	guidelines	no_role	HIPE	de	0.1881	0.1072	0.1366	0.2844	0.1622	0.2066
zephyr-7b-beta	guidelines	no_role	HIPE	en	0.2121	0.0624	0.0964	0.3409	0.1002	0.1549
zephyr-7b-beta	guidelines	no_role	HIPE	fr	0.2335	0.1350	0.1711	0.3297	0.1906	0.2416
zephyr-7b-beta	guidelines	no_role	Newseye	de	0.1141	0.0749	0.0905	0.2218	0.1457	0.1759
zephyr-7b-beta	guidelines	no_role	Newseye	fr	0.3004	0.1310	0.1824	0.4823	0.2103	0.2929
zephyr-7b-beta	guidelines	role	AJMC	de	0.4251	0.1859	0.2587	0.4850	0.2120	0.2951
zephyr-7b-beta	guidelines	role	AJMC	en	0.3677	0.1638	0.2266	0.4774	0.2126	0.2942
zephyr-7b-beta	guidelines	role	AJMC	fr	0.4106	0.1722	0.2427	0.5166	0.2167	0.3053
zephyr-7b-beta	guidelines	role	HIPE	de	0.2010	0.1055	0.1384	0.2940	0.1543	0.2024
zephyr-7b-beta	guidelines	role	HIPE	en	0.2542	0.0334	0.0591	0.4576	0.0601	0.1063
zephyr-7b-beta	guidelines	role	HIPE	fr	0.2481	0.2075	0.2260	0.3483	0.2913	0.3172
zephyr-7b-beta	guidelines	role	Newseye	de	0.1288	0.1099	0.1186	0.2166	0.1848	0.1995
zephyr-7b-beta	guidelines	role	Newseye	fr	0.3148	0.1787	0.2280	0.4966	0.2820	0.3597
zephyr-7b-beta	no_guidelines	no_role	AJMC	de	0.2500	0.0602	0.0970	0.3152	0.0759	0.1224
zephyr-7b-beta	no_guidelines	no_role	AJMC	en	0.2941	0.0575	0.0962	0.3971	0.0776	0.1298
zephyr-7b-beta	no_guidelines	no_role	AJMC	fr	0.2949	0.0639	0.1050	0.4231	0.0917	0.1507
zephyr-7b-beta	no_guidelines	no_role	HIPE	de	0.2598	0.0636	0.1022	0.4021	0.0985	0.1583
zephyr-7b-beta	no_guidelines	no_role	HIPE	en	0.2623	0.0356	0.0627	0.3934	0.0535	0.0941
zephyr-7b-beta	no_guidelines	no_role	HIPE	fr	0.3039	0.0969	0.1469	0.4000	0.1275	0.1934
zephyr-7b-beta	no_guidelines	no_role	Newseye	de	0.1090	0.0470	0.0657	0.2334	0.1007	0.1407
zephyr-7b-beta	no_guidelines	no_role	Newseye	fr	0.2851	0.1109	0.1597	0.4317	0.1680	0.2418
zephyr-7b-beta	no_guidelines	role	AJMC	de	0.3399	0.1361	0.1944	0.4183	0.1675	0.2393
zephyr-7b-beta	no_guidelines	role	AJMC	en	0.3000	0.1552	0.2045	0.3778	0.1954	0.2576
zephyr-7b-beta	no_guidelines	role	AJMC	fr	0.3803	0.1500	0.2151	0.4789	0.1889	0.2709
zephyr-7b-beta	no_guidelines	role	HIPE	de	0.2279	0.1212	0.1582	0.3475	0.1848	0.2413
zephyr-7b-beta	no_guidelines	role	HIPE	en	0.2063	0.0579	0.0904	0.3413	0.0958	0.1496
zephyr-7b-beta	no_guidelines	role	HIPE	fr	0.2824	0.2044	0.2371	0.3791	0.2744	0.3183
zephyr-7b-beta	no_guidelines	role	Newseye	de	0.1394	0.1012	0.1172	0.2146	0.1557	0.1805
zephyr-7b-beta	no_guidelines	role	Newseye	fr	0.3586	0.1965	0.2539	0.5331	0.2920	0.3773
